k=8, mu=500000000, d=1.0e-10, t=322.072625
k=8, mu=500000000, d=1.0e-10, t=89.941038
k=8, mu=500000000, d=1.0e-10, t=115.496585
k=8, mu=500000000, d=5.0e-09, t=86.848877
k=8, mu=500000000, d=5.0e-09, t=41.345273
k=8, mu=500000000, d=5.0e-09, t=22.961296
k=8, mu=500000000, d=1.5e-08, t=35.878283
k=8, mu=500000000, d=1.5e-08, t=81.576222
k=8, mu=500000000, d=1.5e-08, t=72.199528
k=8, mu=500000000, d=5.0e-08, t=15.295733
k=8, mu=500000000, d=5.0e-08, t=165.108634
k=8, mu=500000000, d=5.0e-08, t=57.574046
k=8, mu=1500000000, d=1.0e-10, t=111.299909
k=8, mu=1500000000, d=1.0e-10, t=224.808766
k=8, mu=1500000000, d=1.0e-10, t=65.930936
k=8, mu=1500000000, d=5.0e-09, t=144.008362
k=8, mu=1500000000, d=5.0e-09, t=100.866366
k=8, mu=1500000000, d=5.0e-09, t=131.904655
k=8, mu=1500000000, d=1.5e-08, t=33.699415
k=8, mu=1500000000, d=1.5e-08, t=76.118886
k=8, mu=1500000000, d=1.5e-08, t=52.703199
k=8, mu=1500000000, d=5.0e-08, t=124.342953
k=8, mu=1500000000, d=5.0e-08, t=104.048983
k=8, mu=1500000000, d=5.0e-08, t=148.932530
k=8, mu=2147483648, d=1.0e-10, t=147.696309
k=8, mu=2147483648, d=1.0e-10, t=198.002781
k=8, mu=2147483648, d=1.0e-10, t=56.629706
k=8, mu=2147483648, d=5.0e-09, t=61.582931
k=8, mu=2147483648, d=5.0e-09, t=86.190526
k=8, mu=2147483648, d=5.0e-09, t=111.166952
k=8, mu=2147483648, d=1.5e-08, t=49.646397
k=8, mu=2147483648, d=1.5e-08, t=81.999657
k=8, mu=2147483648, d=1.5e-08, t=70.982003
k=8, mu=2147483648, d=5.0e-08, t=74.150675
k=8, mu=2147483648, d=5.0e-08, t=168.224867
k=8, mu=2147483648, d=5.0e-08, t=25.826721
k=8, mu=3000000000, d=1.0e-10, t=132.459688
k=8, mu=3000000000, d=1.0e-10, t=639.133607
k=8, mu=3000000000, d=1.0e-10, t=106.314627
k=8, mu=3000000000, d=5.0e-09, t=104.980156
k=8, mu=3000000000, d=5.0e-09, t=98.500763
k=8, mu=3000000000, d=5.0e-09, t=123.996565
k=8, mu=3000000000, d=1.5e-08, t=63.907786
k=8, mu=3000000000, d=1.5e-08, t=155.485227
k=8, mu=3000000000, d=1.5e-08, t=231.863073
k=8, mu=3000000000, d=5.0e-08, t=101.387025
k=8, mu=3000000000, d=5.0e-08, t=57.549255
k=8, mu=3000000000, d=5.0e-08, t=117.843160
k=16, mu=500000000, d=1.0e-10, t=140.271303
k=16, mu=500000000, d=1.0e-10, t=321.563449
k=16, mu=500000000, d=1.0e-10, t=123.712407
k=16, mu=500000000, d=5.0e-09, t=104.329637
k=16, mu=500000000, d=5.0e-09, t=91.822098
k=16, mu=500000000, d=5.0e-09, t=73.164604
k=16, mu=500000000, d=1.5e-08, t=80.545712
k=16, mu=500000000, d=1.5e-08, t=66.313819
k=16, mu=500000000, d=1.5e-08, t=18.509774
k=16, mu=500000000, d=5.0e-08, t=106.053461
k=16, mu=500000000, d=5.0e-08, t=36.033287
k=16, mu=500000000, d=5.0e-08, t=154.958536
k=16, mu=1500000000, d=1.0e-10, t=132.883599
k=16, mu=1500000000, d=1.0e-10, t=143.995914
k=16, mu=1500000000, d=1.0e-10, t=186.048473
k=16, mu=1500000000, d=5.0e-09, t=124.443317
k=16, mu=1500000000, d=5.0e-09, t=104.391691
k=16, mu=1500000000, d=5.0e-09, t=132.076968
k=16, mu=1500000000, d=1.5e-08, t=104.273137
k=16, mu=1500000000, d=1.5e-08, t=68.683356
k=16, mu=1500000000, d=1.5e-08, t=95.231163
k=16, mu=1500000000, d=5.0e-08, t=29.531985
k=16, mu=1500000000, d=5.0e-08, t=65.892149
k=16, mu=1500000000, d=5.0e-08, t=29.144566
k=16, mu=2147483648, d=1.0e-10, t=249.356405
k=16, mu=2147483648, d=1.0e-10, t=197.105633
k=16, mu=2147483648, d=1.0e-10, t=119.048910
k=16, mu=2147483648, d=5.0e-09, t=108.648347
k=16, mu=2147483648, d=5.0e-09, t=92.197825
k=16, mu=2147483648, d=5.0e-09, t=110.883702
k=16, mu=2147483648, d=1.5e-08, t=30.917288
k=16, mu=2147483648, d=1.5e-08, t=95.383897
k=16, mu=2147483648, d=1.5e-08, t=12.397337
k=16, mu=2147483648, d=5.0e-08, t=144.094497
k=16, mu=2147483648, d=5.0e-08, t=88.642833
k=16, mu=2147483648, d=5.0e-08, t=103.373028
k=16, mu=3000000000, d=1.0e-10, t=476.104319
k=16, mu=3000000000, d=1.0e-10, t=263.984652
k=16, mu=3000000000, d=1.0e-10, t=108.867069
k=16, mu=3000000000, d=5.0e-09, t=70.031271
k=16, mu=3000000000, d=5.0e-09, t=125.652311
k=16, mu=3000000000, d=5.0e-09, t=54.539365
k=16, mu=3000000000, d=1.5e-08, t=26.426404
k=16, mu=3000000000, d=1.5e-08, t=122.296429
k=16, mu=3000000000, d=1.5e-08, t=25.300560
k=16, mu=3000000000, d=5.0e-08, t=25.868436
k=16, mu=3000000000, d=5.0e-08, t=122.580999
k=16, mu=3000000000, d=5.0e-08, t=6.426466
k=32, mu=500000000, d=1.0e-10, t=357.130169
k=32, mu=500000000, d=1.0e-10, t=46.159065
k=32, mu=500000000, d=1.0e-10, t=121.797523
k=32, mu=500000000, d=5.0e-09, t=111.880517
k=32, mu=500000000, d=5.0e-09, t=73.740459
k=32, mu=500000000, d=5.0e-09, t=34.961236
k=32, mu=500000000, d=1.5e-08, t=107.733982
k=32, mu=500000000, d=1.5e-08, t=34.834553
k=32, mu=500000000, d=1.5e-08, t=55.621903
k=32, mu=500000000, d=5.0e-08, t=154.607911
k=32, mu=500000000, d=5.0e-08, t=44.685498
k=32, mu=500000000, d=5.0e-08, t=26.339253
k=32, mu=1500000000, d=1.0e-10, t=334.404223
k=32, mu=1500000000, d=1.0e-10, t=145.422203
k=32, mu=1500000000, d=1.0e-10, t=479.075498
k=32, mu=1500000000, d=5.0e-09, t=146.269231
k=32, mu=1500000000, d=5.0e-09, t=118.561277
k=32, mu=1500000000, d=5.0e-09, t=42.759672
k=32, mu=1500000000, d=1.5e-08, t=107.580819
k=32, mu=1500000000, d=1.5e-08, t=121.148779
